id,S,S_plus,S_base,s_mn,s_tn,s_mtn
H152,0.2756277616675461,0.2756277616675461,1.5663472199969246,0.7696451437020996,0.8437541792096236,0.1102511046670183
H153,1.9863684636072987e-15,1.9863684636072987e-15,1.2466271747065738,0.6050453142823411,0.9532386541008744,5.103302911388794e-16
H154,1.2596377577136867e-15,1.2596377577136867e-15,1.295089168040184,0.6460406533511588,0.9728208066990705,2.551651455694397e-16
H155,0.6725608987207982,0.6725608987207982,1.7453871208148954,0.5701822969541956,0.7708504806634262,0.2690243594883191
H156,1.2747172230415251,1.2747172230415251,1.956973167743928,4.674364515443258e-16,0.8528199308780031,0.50988688921661
H157,1.6310970957272485e-15,1.6310970957272485e-15,1.4103426612176306,0.9095762423145386,0.8533520842074979,5.103302911388794e-16
H158,0.43055518038702534,0.43055518038702534,1.324565295588381,0.2439675837196169,0.8735450602820781,0.17222207215481
H159,0.12445770021221837,0.12445770021221837,1.276178848935001,0.550546281807406,0.8891051540960729,0.0497830800848871
H160,0.5320978505768634,0.5320978505768634,1.6065463484819396,0.4669031979237144,0.8761574244576311,0.2128391402307452
H161,1.8087327796672735e-15,1.8087327796672735e-15,0.97469573397714,0.9871608346046562,0.2312088328667673,5.103302911388794e-16
H162,0.4556369153796033,0.4556369153796033,1.2057587975671145,0.0882307940801674,0.8494215586542221,0.1822547661518411
H163,1.3611585559318748,1.3611585559318748,2.25980541255627,0.8474077684060812,0.275900802374413,0.5444634223727498
H164,0.5015036166315725,0.5015036166315725,1.397903173399688,0.4329324551699793,0.6875669907901654,0.2006014466526289
H165,1.6310970957272485e-15,1.6310970957272485e-15,1.3964853714847725,0.8694492898983326,0.8761574244576311,5.103302911388794e-16
H166,1.7199149376972609e-15,1.7199149376972609e-15,1.321860668991934,0.7623499418335121,0.8899758944064036,5.103302911388794e-16
H167,1.4534614117872234e-15,1.4534614117872234e-15,1.4324878038290874,0.9311947167223436,0.859415038064014,5.103302911388794e-16
H168,1.8087327796672735e-15,1.8087327796672735e-15,1.376322929835367,0.767721683187639,0.952681979106568,5.103302911388794e-16
H169,1.9863684636072987e-15,1.9863684636072987e-15,1.4963709913110603,0.9469711625530848,0.9234925765857388,5.103302911388794e-16
H170,1.8087327796672735e-15,1.8087327796672735e-15,1.4197001262357891,0.8549266642563346,0.9196984935384,5.103302911388794e-16
H171,1.4534614117872234e-15,1.4534614117872234e-15,1.3078150900277357,0.7929950119361433,0.8417738505985243,5.103302911388794e-16
H172,0.7467496698018821,0.7467496698018821,1.6713531961719506,0.2224904621003771,0.9332639458622088,0.2986998679207526
H173,0.5169824924735604,0.5169824924735604,1.7336730276090246,0.7217455476394127,0.7991176212799178,0.206792996989424
H174,1.6310970957272485e-15,1.6310970957272485e-15,1.4021587397665527,0.8843026191164696,0.8683958055917196,5.103302911388794e-16
