id,title,year,field,B1_tfidf_dist,B1_bm25_negmax
R175,MUDOS-NG: Multi-document Summaries Using N-gram Graphs (Tech Report),0,ALL,0.7948521097227369,-202.01067208199052
R176,Inverse-Category-Frequency based supervised term weighting scheme for text categorization,0,ALL,0.9188656199946352,-168.2031677008205
R177,An Image-Based Sensor System for Autonomous Rendez-Vous with Uncooperative Satellites,0,ALL,0.8976815744843503,-223.62059262914642
R178,A Multi-stage Probabilistic Algorithm for Dynamic Path-Planning,0,ALL,0.7315074618628528,-143.1501114297652
R179,Combining a Probabilistic Sampling Technique and Simple Heuristics to solve the Dynamic Path Planning Problem,0,ALL,0.765012865818707,-196.00260571765997
R180,Learning to Predict Combinatorial Structures,0,ALL,0.8887605655360428,-193.3270344322495
R181,Incremental Parser Generation for Tree Adjoining Grammars,0,ALL,0.8736593795522327,-134.67368694475132
R182,Processing Unknown Words in HPSG,0,ALL,0.8834982540364865,-146.3409369713553
R183,Computing Declarative Prosodic Morphology,0,ALL,0.8956735235281121,-134.36931789306084
R184,Empirically Evaluating an Adaptable Spoken Dialogue System,0,ALL,0.8142532168039129,-207.173252263134
R185,Temporal Meaning Representations in a Natural Language Front-End,0,ALL,0.8750370742936082,-131.58623840914325
R186,A Real World Implementation of Answer Extraction,0,ALL,0.8655301946228322,-195.73819282536664
R187,Exploiting Syntactic Structure for Natural Language Modeling,0,ALL,0.8958210909095229,-169.55142380872434
R188,Structured Language Modeling for Speech Recognition,0,ALL,0.8698310029825423,-99.40362919530537
R189,Looking at discourse in a corpus: The role of lexical cohesion,0,ALL,0.8702992400898744,-171.86959350916084
R190,"On the Scalability of the Answer Extraction System ""ExtrAns""",0,ALL,0.8596058121970006,-294.2639499960698
R191,Trainable Methods for Surface Natural Language Generation,0,ALL,0.9030515658545926,-174.1192625117845
R192,Aspects of Pattern-Matching in Data-Oriented Parsing,0,ALL,0.8682361957414793,-199.86369402379157
R193,Selectional Restrictions in HPSG,0,ALL,0.9208842117854881,-145.72871416325134
